,date,country,confirmed,deaths,recovered,active,daily_confirmed,daily_deaths,daily_recovered,total_vaccinations,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,vaccines,death_rate,recover_rate,population,daily_confirmed_per_hundred,quarter,confirmed_per_hundred
0,2020-01-23,Australia,0.0,0.0,0.0,0.0,,,,,,,,,,,,,25726900,,1,0.0
1,2020-01-25,Australia,4.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,0.0,0.0,25726900,1.554792843288542e-05,1,1.554792843288542e-05
2,2020-01-26,Australia,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,25726900,0.0,1,1.554792843288542e-05
3,2020-01-27,Australia,5.0,0.0,0.0,5.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,25726900,3.886982108221355e-06,1,1.9434910541106778e-05
4,2020-01-28,Australia,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,25726900,0.0,1,1.9434910541106778e-05
5,2020-01-29,Australia,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,25726900,0.0,1,1.9434910541106778e-05
6,2020-01-30,Australia,9.0,0.0,2.0,7.0,4.0,0.0,2.0,,,,,,,,0.0,22.22222222222222,25726900,1.554792843288542e-05,1,3.49828389739922e-05
7,2020-01-31,Australia,9.0,0.0,2.0,7.0,0.0,0.0,0.0,,,,,,,,0.0,22.22222222222222,25726900,0.0,1,3.49828389739922e-05
8,2020-02-01,Australia,12.0,0.0,2.0,10.0,3.0,0.0,0.0,,,,,,,,0.0,16.666666666666664,25726900,1.1660946324664067e-05,1,4.664378529865627e-05
9,2020-02-02,Australia,12.0,0.0,2.0,10.0,0.0,0.0,0.0,,,,,,,,0.0,16.666666666666664,25726900,0.0,1,4.664378529865627e-05
10,2020-02-03,Australia,12.0,0.0,2.0,10.0,0.0,0.0,0.0,,,,,,,,0.0,16.666666666666664,25726900,0.0,1,4.664378529865627e-05
11,2020-02-04,Australia,13.0,0.0,2.0,11.0,1.0,0.0,0.0,,,,,,,,0.0,15.384615384615385,25726900,3.886982108221355e-06,1,5.0530767406877627e-05
12,2020-02-05,Australia,13.0,0.0,2.0,11.0,0.0,0.0,0.0,,,,,,,,0.0,15.384615384615385,25726900,0.0,1,5.0530767406877627e-05
13,2020-02-06,Australia,14.0,0.0,2.0,12.0,1.0,0.0,0.0,,,,,,,,0.0,14.285714285714285,25726900,3.886982108221355e-06,1,5.441774951509898e-05
14,2020-02-07,Australia,15.0,0.0,2.0,13.0,1.0,0.0,0.0,,,,,,,,0.0,13.333333333333334,25726900,3.886982108221355e-06,1,5.830473162332034e-05
15,2020-02-08,Australia,15.0,0.0,2.0,13.0,0.0,0.0,0.0,,,,,,,,0.0,13.333333333333334,25726900,0.0,1,5.830473162332034e-05
16,2020-02-09,Australia,15.0,0.0,2.0,13.0,0.0,0.0,0.0,,,,,,,,0.0,13.333333333333334,25726900,0.0,1,5.830473162332034e-05
17,2020-02-10,Australia,15.0,0.0,2.0,13.0,0.0,0.0,0.0,,,,,,,,0.0,13.333333333333334,25726900,0.0,1,5.830473162332034e-05
18,2020-02-11,Australia,15.0,0.0,2.0,13.0,0.0,0.0,0.0,,,,,,,,0.0,13.333333333333334,25726900,0.0,1,5.830473162332034e-05
19,2020-02-12,Australia,15.0,0.0,2.0,13.0,0.0,0.0,0.0,,,,,,,,0.0,13.333333333333334,25726900,0.0,1,5.830473162332034e-05
20,2020-02-13,Australia,15.0,0.0,8.0,7.0,0.0,0.0,6.0,,,,,,,,0.0,53.333333333333336,25726900,0.0,1,5.830473162332034e-05
21,2020-02-14,Australia,15.0,0.0,8.0,7.0,0.0,0.0,0.0,,,,,,,,0.0,53.333333333333336,25726900,0.0,1,5.830473162332034e-05
22,2020-02-15,Australia,15.0,0.0,8.0,7.0,0.0,0.0,0.0,,,,,,,,0.0,53.333333333333336,25726900,0.0,1,5.830473162332034e-05
23,2020-02-16,Australia,15.0,0.0,8.0,7.0,0.0,0.0,0.0,,,,,,,,0.0,53.333333333333336,25726900,0.0,1,5.830473162332034e-05
24,2020-02-17,Australia,15.0,0.0,10.0,5.0,0.0,0.0,2.0,,,,,,,,0.0,66.66666666666666,25726900,0.0,1,5.830473162332034e-05
25,2020-02-18,Australia,15.0,0.0,10.0,5.0,0.0,0.0,0.0,,,,,,,,0.0,66.66666666666666,25726900,0.0,1,5.830473162332034e-05
26,2020-02-19,Australia,15.0,0.0,10.0,5.0,0.0,0.0,0.0,,,,,,,,0.0,66.66666666666666,25726900,0.0,1,5.830473162332034e-05
27,2020-02-20,Australia,15.0,0.0,10.0,5.0,0.0,0.0,0.0,,,,,,,,0.0,66.66666666666666,25726900,0.0,1,5.830473162332034e-05
28,2020-02-21,Australia,19.0,0.0,11.0,8.0,4.0,0.0,1.0,,,,,,,,0.0,57.89473684210527,25726900,1.554792843288542e-05,1,7.385266005620576e-05
29,2020-02-22,Australia,22.0,0.0,11.0,11.0,3.0,0.0,0.0,,,,,,,,0.0,50.0,25726900,1.1660946324664067e-05,1,8.551360638086983e-05
30,2020-02-23,Australia,22.0,0.0,11.0,11.0,0.0,0.0,0.0,,,,,,,,0.0,50.0,25726900,0.0,1,8.551360638086983e-05
31,2020-02-24,Australia,22.0,0.0,11.0,11.0,0.0,0.0,0.0,,,,,,,,0.0,50.0,25726900,0.0,1,8.551360638086983e-05
32,2020-02-25,Australia,22.0,0.0,11.0,11.0,0.0,0.0,0.0,,,,,,,,0.0,50.0,25726900,0.0,1,8.551360638086983e-05
33,2020-02-26,Australia,22.0,0.0,11.0,11.0,0.0,0.0,0.0,,,,,,,,0.0,50.0,25726900,0.0,1,8.551360638086983e-05
34,2020-02-27,Australia,23.0,0.0,11.0,12.0,1.0,0.0,0.0,,,,,,,,0.0,47.82608695652174,25726900,3.886982108221355e-06,1,8.940058848909119e-05
35,2020-02-28,Australia,23.0,0.0,11.0,12.0,0.0,0.0,0.0,,,,,,,,0.0,47.82608695652174,25726900,0.0,1,8.940058848909119e-05
36,2020-02-29,Australia,25.0,0.0,11.0,14.0,2.0,0.0,0.0,,,,,,,,0.0,44.0,25726900,7.77396421644271e-06,1,9.71745527055339e-05
37,2020-03-01,Australia,27.0,1.0,11.0,15.0,2.0,1.0,0.0,,,,,,,,3.7037037037037033,40.74074074074074,25726900,7.77396421644271e-06,1,0.0001049485169219766
38,2020-03-02,Australia,30.0,1.0,11.0,18.0,3.0,0.0,0.0,,,,,,,,3.3333333333333335,36.666666666666664,25726900,1.1660946324664067e-05,1,0.00011660946324664068
39,2020-03-03,Australia,39.0,1.0,11.0,27.0,9.0,0.0,0.0,,,,,,,,2.564102564102564,28.205128205128204,25726900,3.49828389739922e-05,1,0.0001515923022206329
40,2020-03-04,Australia,52.0,2.0,11.0,39.0,13.0,1.0,0.0,,,,,,,,3.8461538461538463,21.153846153846153,25726900,5.0530767406877627e-05,1,0.0002021230696275105
41,2020-03-05,Australia,55.0,2.0,21.0,32.0,3.0,0.0,10.0,,,,,,,,3.6363636363636362,38.18181818181819,25726900,1.1660946324664067e-05,1,0.00021378401595217457
42,2020-03-06,Australia,60.0,2.0,21.0,37.0,5.0,0.0,0.0,,,,,,,,3.3333333333333335,35.0,25726900,1.9434910541106778e-05,1,0.00023321892649328136
43,2020-03-07,Australia,63.0,2.0,21.0,40.0,3.0,0.0,0.0,,,,,,,,3.1746031746031744,33.33333333333333,25726900,1.1660946324664067e-05,1,0.00024487987281794545
44,2020-03-08,Australia,76.0,4.0,21.0,51.0,13.0,2.0,0.0,,,,,,,,5.263157894736842,27.631578947368425,25726900,5.0530767406877627e-05,1,0.00029541064022482305
45,2020-03-09,Australia,91.0,4.0,21.0,66.0,15.0,0.0,0.0,,,,,,,,4.395604395604396,23.076923076923077,25726900,5.830473162332034e-05,1,0.00035371537184814337
46,2020-03-10,Australia,107.0,3.0,21.0,83.0,16.0,-1.0,0.0,,,,,,,,2.803738317757009,19.626168224299064,25726900,6.219171373154168e-05,1,0.0004159070855796851
47,2020-03-11,Australia,128.0,3.0,21.0,104.0,21.0,0.0,0.0,,,,,,,,2.34375,16.40625,25726900,8.162662427264848e-05,1,0.0004975337098523335
48,2020-03-12,Australia,128.0,3.0,21.0,104.0,0.0,0.0,0.0,,,,,,,,2.34375,16.40625,25726900,0.0,1,0.0004975337098523335
49,2020-03-13,Australia,200.0,3.0,23.0,174.0,72.0,0.0,2.0,,,,,,,,1.5,11.5,25726900,0.0002798627117919376,1,0.0007773964216442712
50,2020-03-14,Australia,250.0,3.0,23.0,224.0,50.0,0.0,0.0,,,,,,,,1.2,9.2,25726900,0.0001943491054110678,1,0.0009717455270553389
51,2020-03-15,Australia,297.0,3.0,23.0,271.0,47.0,0.0,0.0,,,,,,,,1.0101010101010102,7.744107744107744,25726900,0.00018268815908640374,1,0.0011544336861417427
52,2020-03-16,Australia,377.0,3.0,23.0,351.0,80.0,0.0,0.0,,,,,,,,0.7957559681697612,6.10079575596817,25726900,0.00031095856865770845,1,0.0014653922547994511
53,2020-03-17,Australia,452.0,5.0,23.0,424.0,75.0,2.0,0.0,,,,,,,,1.1061946902654867,5.0884955752212395,25726900,0.0002915236581166017,1,0.001756915912916053
54,2020-03-18,Australia,568.0,6.0,23.0,539.0,116.0,1.0,0.0,,,,,,,,1.056338028169014,4.049295774647888,25726900,0.0004508899245536773,1,0.00220780583746973
55,2020-03-19,Australia,681.0,6.0,26.0,649.0,113.0,0.0,3.0,,,,,,,,0.881057268722467,3.81791483113069,25726900,0.00043922897822901326,1,0.0026470348156987433
56,2020-03-20,Australia,791.0,7.0,26.0,758.0,110.0,1.0,0.0,,,,,,,,0.8849557522123894,3.286978508217446,25726900,0.00042756803190434914,1,0.003074602847603093
57,2020-03-21,Australia,1071.0,7.0,26.0,1038.0,280.0,0.0,0.0,,,,,,,,0.6535947712418301,2.427637721755369,25726900,0.0010883549903019797,1,0.004162957837905072
58,2020-03-22,Australia,1490.0,7.0,92.0,1391.0,419.0,0.0,66.0,,,,,,,,0.4697986577181208,6.174496644295302,25726900,0.0016286455033447482,1,0.00579160334124982
59,2020-03-23,Australia,1682.0,7.0,119.0,1556.0,192.0,0.0,27.0,,,,,,,,0.4161712247324614,7.074910820451843,25726900,0.0007463005647785003,1,0.00653790390602832
60,2020-03-24,Australia,2044.0,8.0,119.0,1917.0,362.0,1.0,0.0,,,,,,,,0.3913894324853229,5.821917808219178,25726900,0.001407087523176131,1,0.007944991429204452
61,2020-03-25,Australia,2364.0,8.0,119.0,2237.0,320.0,0.0,0.0,,,,,,,,0.338409475465313,5.0338409475465316,25726900,0.0012438342746308338,1,0.009188825703835285
62,2020-03-26,Australia,2810.0,13.0,172.0,2625.0,446.0,5.0,53.0,,,,,,,,0.4626334519572953,6.120996441281139,25726900,0.0017335940202667247,1,0.01092241972410201
63,2020-03-27,Australia,3143.0,13.0,194.0,2936.0,333.0,0.0,22.0,,,,,,,,0.4136175628380528,6.172446706967865,25726900,0.0012943650420377114,1,0.012216784766139722
64,2020-03-28,Australia,3640.0,14.0,244.0,3382.0,497.0,1.0,50.0,,,,,,,,0.38461538461538464,6.7032967032967035,25726900,0.0019318301077860139,1,0.014148614873925734
65,2020-03-29,Australia,3984.0,16.0,244.0,3724.0,344.0,2.0,0.0,,,,,,,,0.4016064257028112,6.124497991967871,25726900,0.0013371218452281465,1,0.01548573671915388
66,2020-03-30,Australia,4361.0,17.0,257.0,4087.0,377.0,1.0,13.0,,,,,,,,0.3898188488878697,5.893143774363678,25726900,0.0014653922547994511,1,0.01695112897395333
67,2020-03-31,Australia,4559.0,18.0,358.0,4183.0,198.0,1.0,101.0,,,,,,,,0.394823426189954,7.852599254222417,25726900,0.0007696224574278284,1,0.017720751431381163
